Word,Reading,Meaning
高楊子,たかようじ,"leisurely, post-meal use of a toothpick"
優駿,ゆうしゅん,fine horse
駿才,しゅんさい,"prodigy, talented person, person of exceptional talent, genius"
駿足,しゅんそく,"swift horse, fleet steed, fast runner; talented person, brilliant person"
駿馬,"しゅんば, しゅんめ",swift horse
優駿馬,ゆうしゅんば,fine horse
海賊,かいぞく,"pirate, sea robber"
盗賊,とうぞく,"thief, robber"
賊,ぞく,"thief, robber, burglar; rebel, insurgent, traitor"
海賊版,かいぞくばん,"pirated edition, bootleg"
賊,"あだ, あた, あたん","foe, enemy, rival; resentment, enmity, grudge; harm, injury"
山賊,さんぞく,"bandit, brigand"
烏賊,いか,"cuttlefish, squid"
海賊の髑髏,かいぞくのどくろ,"skull and crossbones (pirate flag), Jolly Roger"
巨賊,きょぞく,"big-time bandit, big-time pirate"
国賊,こくぞく,"traitor, rebel"
搾り,しぼり,squeezing
搾取,さくしゅ,"exploitation, squeezing, sweating"
搾乳,さくにゅう,milking (a cow)
あっ搾,あっさく,"pressure, compression"
搾る,しぼる,"to press, to wring, to squeeze, to narrow (down), to whittle (down), to tighten"
搾めかす,しめかす,"oil cake, scrap cake"
圧搾,あっさく,"pressure, compression"
圧搾器,あっさくき,"compression, press"
圧搾空気,あっさくくうき,compressed air
搾り取る,しぼりとる,to exploit
亮察,りょうさつ,"consideration, taking into account, sympathy with"
明亮,めいりょう,"lucid, clear, plain"
亮月,りょうげつ,bright moonlight
亮然,りょうぜん,"clear, obvious"
亮直,りょうちょく,rightfulness
瀏亮,りゅうりょう,clear and resounding (as a voice or musical instrument)
湖畔,こはん,lake shore
河畔,かはん,riverside
畔,"あぜ, くろ",ridge between rice fields; causeway
畔,"あたり, ほとり","on the bank of, by the side of (e.g. a river, pond); (in the) neighbourhood, neighborhood, vicinity, nearby"
畔道,あぜみち,footpath between rice fields
池畔,ちはん,"near the pond, edge of a pond"
橋畔,きょうはん,approach to a bridge
渚畔,しょはん,"shore, waterside"
畦畔,けいはん,ridge between rice fields; causeway
孔子,こうし,Confucius
瞳孔,どうこう,"pupil, pupillary"
孔,あな,"hole; deficit, shortage, missing person (in a team, meeting, etc.); vacancy, opening; flaw; profitable place (or item, etc.) not well known by others; upset victory (with a large payoff); pit (of a theater); hiding place; underbelly (of society, etc.)"
孔雀,"くじゃく, くざく, クジャク","peafowl (inc. the male peacock, female peahen, and young peachick)"
孔パターン,こうパターン,hole pattern
ボタン孔,ボタンあな,buttonhole
気孔,きこう,stoma
空気孔,くうきこう,"air pocket, air hole"
孔雀石,くじゃくせき,malachite
孔雀妙王,くじゃくみょうおう,"Mayuri Vidya-raja, holder of the mantras"
吾輩,わがはい,"I (nuance of arrogance), me, myself; we, us, ourselves"
吾,"われ, わ, あれ, あ, わぬ, わろ","I, me; oneself; you; prefix indicating familiarity or contempt"
吾れ,"われ, わ, あれ, あ, わぬ, わろ","I, me; oneself; you; prefix indicating familiarity or contempt"
吾が,わが,"my, our, one's own"
吾ら,われら,"we, us; I, me; you (referring to a group of one's equals or inferiors)"
吾子,あこ,my child
吾妹子,わぎもこ,my wife
吾人,ごじん,we
吾妹,わぎも,my wife
吾木香,われもこう,burnet
椿,"つばき, さんちゃ, ツバキ","common camellia, Camellia japonica; tea produced in the mountains"
寒椿,かんつばき,camellia-like plant native to China
椿油,つばきあぶら,camellia oil
椿事,ちんじ,"strange occurrence, unusual occurrence, unexpected occurrence"
夏椿,"なつつばき, ナツツバキ","Japanese stewartia, stewartia pseudocamellia"
椿象,"かめむし, カメむし, カメムシ","shield bug, stink bug"
椿桃,"つばいもも, づばいもも, ずばいもも, つばきもも, あぶらもも, ひかりもも, ズバイモモ, ツバイモモ",nectarine
刺椿象,"さしがめ, サシガメ",assassin bug (any insect of family Reduviidae)
椿象目,"カメムシもく, かめむしもく",Hemiptera (taxonomic order comprising the true bugs)
姫椿,"ひめつばき, ヒメツバキ","Chinese guger tree (species of evergreen, Schima wallichii); sasanqua (Camellia sasanqua); Japanese privet (Ligustrum japonicum)"
拷問,ごうもん,"torture, the rack, third degree"
拷問具,ごうもんぐ,instrument(s) of torture
拷問台,ごうもんだい,the rack
拷器,ごうき,instruments of torture
拷問等禁止条約,ごうもんとうきんしじょうやく,"Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment"
嬢,じょう,"unmarried woman; (after a name) Miss; (after a line of work) -ess, -ette"
お嬢さん,おじょうさん,daughter; young lady
令嬢,れいじょう,"(your) daughter, young woman"
お嬢さま,おじょうさま,"(term of respect for) another's daughter, daughter of a high-class family"
トルコ嬢,トルコじょう,prostitute working at a soapland (lit: Turkish girl)
お嬢,おじょう,(someone else's) daughter
嬢さん,とうさん,daughter (of a good family)
嬢さん,じょうさん,daughter (may be used a honorific after name); young lady (esp. of respectable upbringing) (may be used a honorific after name)
御嬢さん,おじょうさん,daughter; young lady
案内嬢,あんないじょう,usherette
渓谷,けいこく,"valley, ravine, canyon"
渓流,けいりゅう,mountain stream
渓,たに,valley
雪渓,せっけい,snowy valley
渓間,けいかん,ravine
渓流釣り,けいりゅうづり,mountain stream fishing
厳美渓,げんびけい,"Genbi Gorge (Ichinoseki-shi, Iwate-ken)"
猊美渓,げいびけい,"Geibi Gorge (Higashiyama-cho, Iwate-ken)"
渓声,けいせい,sound of a valley stream
渓壑,けいがく,"ravine, chasm; ravenous desire, insatiable desire"
翁,"おう, おきな","old man, venerable"
人間万事塞翁が馬,じんかんばんじさいおうがうま,"inscrutable are the ways of heaven, fortune is unpredictable and changeable"
不倒翁,おきあがりこぼし,"tumbler, self-righting toy"
老翁,ろうおう,old man
信天翁,"あほうどり, しんてんおう, アホウドリ","albatross (esp. the short-tailed albatross, Phoebastria albatrus)"
玄翁,げんのう,bushhammer
翁貝,おきながい,lantern shell
翁の面,おきなのめん,old man's mask
村翁,そんおう,village elder
白頭翁,はくとうおう,"windflower, white-haired old man"
土圭,"とけい, ときはかり","watch, clock, timepiece"
刀圭,とうけい,doctor
刀圭家,とうけいか,doctor
圭角の有る,けいかくのある,"harsh-mannered, angular, rough"
圭角のある,けいかくのある,"harsh-mannered, angular, rough"
圭璧,けいへき,ritual jades worn by feudal lords in ancient China
尖圭コンジローム,せんけいコンジローム,pointed condyloma
廉売,れんばい,bargain sale
廉価,れんか,low price
清廉,せいれん,"honesty, integrity, purity and unselfishness"
低廉,ていれん,"cheap, inexpensive"
廉,かど,"charge, grounds, suspicion"
廉,れん,"cheap, inexpensive"
廉い,やすい,"cheap, inexpensive; calm, peaceful, quiet"
廉潔,れんけつ,"honest, incorruptible, integrity"
清廉潔白,せいれんけっぱく,being upright and cleanhanded
破廉恥,はれんち,infamy
蓮,"はす, はちす","lotus (Nelumbo nucifera), sacred lotus"
蓮華,れんげ,lotus flower; Chinese milk vetch (Astragalus sinicus); china spoon
一蓮托生,いちれんたくしょう,sharing one's lot with another
南無妙法蓮華経,なむみょうほうれんげきょう,"Glory to the Sutra, Hail Lotus Sutra"
蓮花,れんげ,lotus flower; Chinese milk vetch (Astragalus sinicus); china spoon
蓮根,れんこん,lotus root
法蓮草,ほうれんそう,spinach
鳳蓮草,ほうれんそう,spinach
白蓮,びゃくれん,"white lotus, purity"
睡蓮,すいれん,"water lily, Nymphaea tetragona Georgi var. augusta Casp. Subvar. Orientalis Casp."
謹慎,きんしん,"penitence, discipline, house arrest"
不謹慎,ふきんしん,"indiscretion, imprudence"
謹厳,きんげん,"stern, grave, solemn, sobersided"
謹んで,つつしんで,"respectfully, humbly, reverently"
謹む,つつしむ,"to be careful, to be discreet; to do in moderation, to refrain oneself from overdoing; to be reverent; to be purified, to be chaste"
謹賀新年,きんがしんねん,Happy New Year!
謹啓,きんけい,"Dear Sirs (opening for a letter), Gentlemen"
謹言,きんげん,Yours Sincerely ...
謹製,きんせい,humbly made
謹聴,きんちょう,listening attentively
窯,かま,"stove, furnace, kiln"
窯業,ようぎょう,"ceramics, ceramic industry"
窯元,かまもと,pottery
トンネル窯,トンネルがま,tunnel kiln
窯出し,かまだし,removing pots from kiln
土窯,どがま,earthen kiln
炭窯,すみがま,charcoal kiln
窯印,かまじるし,potter's mark
官窯,かんよう,governmental porcelain furnace
穴窯,あながま,very old type of kiln made by digging a hole in the side of a hill
紫綬褒章,しじゅほうしょう,Medal with Purple Ribbon
褒める,ほめる,"to praise, to admire, to speak well"
褒賞,ほうしょう,"medal (of merit), prize, reward"
褒美,ほうび,"reward, prize"
褒章,ほうしょう,"medal of honour, medal of merit"
褒めそやす,ほめそやす,"to praise, to extol"
褒めちぎる,ほめちぎる,"to praise (to the skies), to sing the praises (of), to extol"
べた褒め,"べたぼめ, べたほめ","high praise, eulogy, rave review"
藍綬褒章,らんじゅほうしょう,Medal with Blue Ribbon (philanthropy)
過褒,かほう,overpraise
醜い,みにくい,"ugly, unattractive; unsightly, unseemly"
醜態,しゅうたい,"shameful sight, disgraceful behavior, disgraceful behaviour"
醜聞,しゅうぶん,scandal
醜悪,しゅうあく,"ugliness, meanness, offensiveness"
醜男,"ブおとこ, ぶおとこ, じこお","ugly man; strong, brawny man"
美醜,びしゅう,"beauty or ugliness, personal appearance"
醜女,"しゅうじょ, しこめ, ぶおんな, ぶす, ブス","homely woman, plain-looking woman; female demon"
醜名,しこな,Sumo wrestler's stage name
醜行,しゅうこう,"disgraceful (scandalous) conduct, shameful behavior, shameful behaviour"
醜名,しゅうめい,scandal
升,ます,"measuring container, measure; box (seating at a theatre, etc.); square on a grid, cell of a grid; square bearing block (at the top of a pillar)"
升,しょう,"sho (unit of volume, approx. 1.8 litres)"
ひと升,ひとます,"one square on a grid, one cell of a grid"
一升,いっしょう,"unit of old Japanese liquid measurement, 1800 cc"
一升瓶,いっしょうびん,1 sho bottle (1.8 litres)
升目,ますめ,measure; square (e.g. of graph paper or Japanese manuscript paper); box (e.g. on a form)
升席,ますせき,"tatami ""box seat"" for four people at sumo or kabuki"
升形,ますがた,square (shape); square bearing block (at the top of a pillar); (in a castle) rectangular space between the inner and outer gates (where troops can gather)
升遷,しょうせん,rising up
升酒,ますざけ,"alcohol (esp. sake) served in a small wooden box, alcohol (esp. sake) sold in a small wooden box"
殉教,じゅんきょう,martyrdom
殉職,じゅんしょく,"dying at one's post, being killed in the line of duty"
殉難,じゅんなん,martyrdom
殉じる,じゅんじる,to sacrifice oneself
殉教者,じゅんきょうしゃ,martyr
殉国,じゅんこく,dying for one's country
殉死,じゅんし,"dying a martyr, following someone in suicide"
殉難者,じゅんなんしゃ,"victim, martyr"
殉職者,じゅんしょくしゃ,person who has died at his post (in the performance of his duties)
煩雑,はんざつ,"complex, intricate, complicated, confused, troublesome, vexatious"
煩わしい,わずらわしい,"troublesome, annoying, complicated"
煩悩,ぼんのう,"klesha (polluting thoughts such as greed, hatred and delusion, which result in suffering)"
煩,はん,trouble
煩い,うるさい,"noisy, loud; fussy; annoying, troublesome, tiresome, importunate; bossy"
煩う,わずらう,"to worry about, to be concerned about, to be afflicted with, to suffer from"
煩わす,わずらわす,"to trouble, to bother, to annoy, to give trouble"
煩さがる,うるさがる,to feel annoyed at
煩がる,うるさがる,to feel annoyed at
煩い,わずらい,"worry, agony, vexation"
弾劾,だんがい,"impeachment, accusation, censure, denunciation"
劾奏,がいそう,report of an official's offence to the emperor (offense)
弾劾裁判所,だんがいさいばんしょ,(Japanese) Court of Impeachment
弾劾投票,だんがいとうひょう,impeachment vote
裁判官弾劾裁判所,さいばんかんだんがいさいばんしょ,Judge Impeachment Court
堕落,だらく,"depravity, corruption, degradation"
堕胎,だたい,"abortion, aborticide, miscarriage"
堕する,だする,"to degenerate, to lapse into"
堕ちる,おちる,"to fall down, to drop; to fail (e.g. exam); to crash, to degenerate, to degrade; to fade, to come out (e.g. a stain)"
堕つ,おつ,"to fall down, to drop; to fail (e.g. exam); to crash, to degenerate, to degrade"
堕ろす,おろす,to abort (an embryo or fetus) (negative nuance)
堕す,だす,"to degenerate, to lapse into"
金剛薩堕,こんごうさった,"Vajrasattva, Supreme Being of tantric Buddhism"
